n_proc,N,iterations,global,computation,communication,init,IO
256,80000,10,4.437498,0.003117,0.064357,0.019477,4.309882
4,80000,10,18.123772,0.187996,0.713406,0.055830,17.166463
8,80000,10,13.338188,0.094079,0.431195,0.044788,12.767736
32,80000,10,4.814101,0.023601,0.148214,0.015422,4.612864
16,80000,10,7.795849,0.047077,0.252693,0.023391,7.472688
128,80000,10,7.950932,0.006010,0.063792,0.005646,7.692893
64,80000,10,4.992936,0.011867,0.094217,0.008172,4.878680
4,40000,10,5.977305,0.047673,0.221033,0.021415,5.687085
8,40000,10,3.626219,0.023795,0.166601,0.009930,3.425894
16,40000,10,2.245938,0.011946,0.066605,0.006519,2.160868
16,40000,10,2.149190,0.011954,0.070576,0.007323,2.058776
16,40000,10,2.037367,0.011975,0.071950,0.006771,1.936112
32,40000,10,1.744221,0.006059,0.045183,0.005192,1.679531
32,40000,10,2.301999,0.006030,0.046198,0.003896,2.245875
32,40000,10,2.332944,0.006031,0.062569,0.004568,2.249830
64,40000,10,1.547603,0.003089,0.047554,0.002914,1.477673
64,40000,10,1.555725,0.003077,0.038976,0.002966,1.510706
128,40000,10,1.732773,0.001603,0.067106,0.004845,1.653059
128,40000,10,1.322718,0.001598,0.040620,0.002609,1.270541
128,40000,10,1.342995,0.001596,0.041810,0.002712,1.296877
256,40000,10,1.235146,0.000892,0.075037,0.024062,1.120305
256,40000,10,1.113801,0.000901,0.042312,0.002694,1.062434